ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
2478118336,2026-03-09T07:20:30.567000,2026-03-09T10:51:11.688000,buy,0.01,0.01,XAUUSDm,5100.775,5085.68,5085.68,5140.45,0,0,-15.1,,,sl
2478112023,2026-03-09T07:18:55.759000,2026-03-09T07:20:19.130000,buy,0.1,0.1,XAUUSDm,5098.6,5099.801,,,0,0,12.01,,,user
2463722934,2026-03-05T07:18:04.011000,2026-03-05T07:55:20.194000,buy,0.01,0.01,XAUUSDm,5164.386,5158.86,5158.86,5172.93,0,0,-5.53,,,sl
2463722935,2026-03-05T07:18:04.013000,2026-03-05T07:55:20.194000,buy,0.01,0.01,XAUUSDm,5164.386,5158.86,5158.86,5172.93,0,0,-5.53,,,sl
2463722936,2026-03-05T07:18:04.012000,2026-03-05T07:55:20.194000,buy,0.01,0.01,XAUUSDm,5164.386,5158.86,5158.86,5172.93,0,0,-5.53,,,sl
2459086232,2026-03-04T10:54:49.222000,2026-03-04T12:03:59.036000,buy,0.01,0.01,XAUUSDm,5187.893,5202.397,5179.166,5202.397,0,0,14.51,,,tp
2458550780,2026-03-04T09:11:29.226000,2026-03-04T09:39:08.522000,buy,0.01,0.01,XAUUSDm,5167.875,5182.23,5158.92,5182.23,0,0,14.35,,,tp
